name,reach
D-24-22 04CBC2 [PALUWD],0
D-23-22 33DCD2 [PALO DEEP],0
D-24-22 04CBC1 [PALUWS],0
D-23-22 33ABD02 [ULLRICH],0
D-24-22 04CBA3 [PAL-US],1
D-24-22 04CBA4 [PAL-UD],1
D-24-22 08DBA1 [PLS-LI],1
D-24-22 08DBA2 [PLS-LO],1
D-24-22 04ADD [PAL-SA],1
D-24-22 04CBA1 [PAL-LS],1
D-24-22 04CBA2 [PAL-LD],1
D-23-22 22CBB2 [KOL-LO],2
D-23-22 22CBB1 [KOL-LI],2
D-23-22 22CBB3 [KOL-UP],2
D-23-22 09ACD1 [HERSUS],2
D-23-22 09ACD2 [HERSUD],2
D-23-22 04DCD1 [HER-LS],2
D-23-22 04DCD4 [HERUED],2
D-23-22 04DCA1 [HERUWS],2
D-23-22 04DCD3 [HERUES],2
D-23-22 04DCD2 [HER-LD],2
D-22-22 33BBC [HUN-UP],3
D-22-22 28CCD [HUN-SO],3
D-22-22 28CAA2 [HUN-LO],3
D-22-22 28CAA1 [HUN-LI],3
D-22-22 17ACC3 [COTBLM],4
D-22-22 17ACC1 [COT-LS],4
D-22-22 17BDD2 [COTUWD],4
D-22-22 17ACC2 [COT-LD],4
D-22-22 06AAA4 [LSP-4],5
D-22-22 06AAA1 [LSPLED],5
D-22-22 06ABD [LSP-6],5
D-22-22 06AAA6 [LSP-1],5
D-22-22 05BBD2 [LSPUED],5
D-22-22 06AAA5 [LSP-5],5
D-21-22 19CDB1 [CLRSUS],5
D-21-22 19CDB2 [CLRSUD],5
D-22-22 06AAA3 [LSP-3],5
D-22-22 06AAA7 [LSP-2],5
D-22-22 06AAB [LSPUWD],5
D-21-21 13BAB4 [MOSLNW],6
D-21-21 13BAC1 [MOSWAS],6
D-21-21 13BAB1 [MOSLNS],6
D-21-21 13BAB2 [MOSLND],6
D-21-21 02DDC [CHB-LI],7
D-20-21 14BCC1 [BOQSUS],8
D-20-21 15DDB [BOQ-UP],8
D-20-21 14BCC2 [BOQSUD],8
D-20-21 15DBD1 [BOQ-LI],8
D-20-21 10AAC2 [FBK-UP],9
D-20-21 03CBA [FBK-LI],9
D-20-21 03CAB [FBK-LO],9
D-19-21 28ACD [TOM-LI],11
D-19-21 21ACC2 [CONLID],12
D-19-21 08DAC1 [SUM-LI],12
D-19-21 05AAA1 [STD-LI],13
D-19-21 05AAA2 [STD-LO],13
